epoch,train_loss,train_acc,val_loss,val_acc,val_vol_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_vol_acc,test_c0,test_c1,test_c2
1,1.0985214929535705,0.5765526729559748,1.204539782471127,0.4813803434371948,0.5094339622641509,1903/2052,0/1520,36/456,,,,,,
2,1.0973045407975994,0.5287441037735849,1.2035059512607635,0.4702085256576538,0.5094339622641509,1852/2052,0/1520,42/456,,,,,,
3,1.097061181968113,0.5283510220125787,1.2024336088271368,0.43272095918655396,0.5094339622641509,1625/2052,62/1520,56/456,,,,,,
4,1.0956069442835994,0.466686320754717,1.2018527379111639,0.4366931617259979,0.5094339622641509,1529/2052,167/1520,63/456,,,,,,
5,1.0983069462221373,0.48167256289308175,1.2007475722403753,0.37413108348846436,0.39622641509433965,1046/2052,297/1520,164/456,,,,,,
6,1.094917688354756,0.4456564465408805,1.2002601254554022,0.3711519241333008,0.41509433962264153,921/2052,395/1520,179/456,,,,,,
7,1.0956335541962077,0.40698702830188677,1.1997670682649764,0.36271101236343384,0.3584905660377358,780/2052,501/1520,180/456,,,,,,
8,1.0963075393400852,0.3848270440251572,1.1993866439849612,0.3383813202381134,0.3584905660377358,681/2052,470/1520,212/456,,,,,,
9,1.0957512684963033,0.3934257075471698,1.1989081501960754,0.3108242452144623,0.2641509433962264,547/2052,480/1520,225/456,,,,,,
10,1.0951717467802875,0.3399174528301887,1.1988816885721116,0.337388277053833,0.3584905660377358,641/2052,504/1520,214/456,,,,,,
11,1.0926411168755226,0.35780267295597484,1.1989183529974923,0.3676762580871582,0.4528301886792453,759/2052,528/1520,194/456,,,,,,
12,1.0924549618232176,0.4134237421383648,1.1981992390420702,0.3344091475009918,0.39622641509433965,587/2052,533/1520,227/456,,,,,,
13,1.091243493482002,0.36846501572327045,1.1981815175404624,0.34756702184677124,0.4528301886792453,647/2052,532/1520,221/456,,,,,,
14,1.0910146832466125,0.372936320754717,1.1978434125582378,0.36072492599487305,0.41509433962264153,654/2052,587/1520,212/456,,,,,,
15,1.0914996972998734,0.3768180031446541,1.1973956359757318,0.34558093547821045,0.39622641509433965,611/2052,553/1520,228/456,,,,,,
16,1.0891718289012429,0.3643376572327044,1.197383407562498,0.3659384250640869,0.4339622641509434,686/2052,571/1520,217/456,,,,,,
17,1.087883137307077,0.3664013364779874,1.1976495479780531,0.396971195936203,0.4528301886792453,839/2052,578/1520,182/456,,,,,,
18,1.086702048216226,0.40723270440251574,1.1969603167639837,0.37785500288009644,0.4716981132075472,753/2052,555/1520,214/456,,,,,,
19,1.0862023185634013,0.3873820754716981,1.196627924366603,0.3843098282814026,0.4716981132075472,771/2052,568/1520,209/456,,,,,,
20,1.0885905267307594,0.40575864779874216,1.1949495758329118,0.34582918882369995,0.4339622641509434,567/2052,594/1520,232/456,,,,,,
21,1.0838599814184058,0.39391705974842767,1.1948462081333948,0.34558093547821045,0.4339622641509434,619/2052,536/1520,237/456,,,,,,
22,1.085766979545917,0.39082154088050314,1.193969974442134,0.3356504440307617,0.39622641509433965,578/2052,533/1520,241/456,,,,,,
23,1.0817887578745309,0.38325471698113206,1.1946151909374056,0.37686195969581604,0.4528301886792453,738/2052,561/1520,219/456,,,,,,
24,1.0809653309531182,0.4304736635220126,1.1925133646480621,0.34558093547821045,0.41509433962264153,581/2052,570/1520,241/456,,,,,,
25,1.0794123264978517,0.38762775157232704,1.193679166218591,0.3813306987285614,0.4339622641509434,741/2052,583/1520,212/456,,,,,,
26,1.0801977794500266,0.4019261006289308,1.1932084777998546,0.3788480758666992,0.4528301886792453,748/2052,561/1520,217/456,,,,,,
27,1.0793734565845825,0.41946737421383645,1.1916165834381467,0.36196622252464294,0.4528301886792453,660/2052,567/1520,231/456,,,,,,
28,1.0759765430816315,0.421875,1.1905918149721055,0.36122146248817444,0.4528301886792453,633/2052,596/1520,226/456,,,,,,
29,1.0786854259248049,0.4148486635220126,1.1890202193033128,0.337388277053833,0.39622641509433965,566/2052,539/1520,254/456,,,,,,
30,1.072375642616044,0.42197327044025157,1.1884227801883032,0.3510426878929138,0.41509433962264153,581/2052,595/1520,238/456,,,,,,
TEST,,,,,,,,,1.6493476988777283,0.2912115156650543,0.2641509433962264,349/1520,494/1520,330/988
