epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2
1,1.1026229707162771,0.5286069654706699,1.171102570635932,0.5094339847564697,25/27,2/20,0/6
2,1.099971254370106,0.5472636818885803,1.1689459426062447,0.5471698045730591,21/27,8/20,0/6
3,1.0966383885981432,0.3258706469144394,1.168980325971331,0.4716981053352356,13/27,12/20,0/6
4,1.1008216765389514,0.47761194029850745,1.1670056666646684,0.43396228551864624,10/27,13/20,0/6
5,1.0942813736289294,0.5509950251721624,1.164803398506982,0.4150943458080292,10/27,12/20,0/6
6,1.0927782859375228,0.47388059701492535,1.163815975189209,0.5094339847564697,20/27,7/20,0/6
7,1.0906403900972053,0.5995024878587296,1.1617080015795571,0.5094339847564697,13/27,12/20,2/6
8,1.0893879577295105,0.43532338338111765,1.1622707460607802,0.4716981053352356,18/27,5/20,2/6
9,1.086631109465414,0.3880597014925373,1.1620446145534515,0.5283018946647644,18/27,10/20,0/6
10,1.0875635031443924,0.5957711445751475,1.1593954477991377,0.4716981053352356,11/27,13/20,1/6
11,1.0848526652179546,0.5646766170636931,1.157710999250412,0.4528301954269409,8/27,14/20,2/6
12,1.0846373189741105,0.39054726397813255,1.158630290201732,0.5660377740859985,16/27,13/20,1/6
13,1.0825327563641676,0.5796019901980215,1.1563477601323808,0.49056604504585266,9/27,16/20,1/6
14,1.0781727584440317,0.3756218908438042,1.1590562888554163,0.4528301954269409,10/27,14/20,0/6
15,1.0809280338572032,0.6069651744258937,1.1546900229794639,0.4716981053352356,9/27,15/20,1/6
16,1.0823555206184956,0.5907960200487677,1.1536714264324732,0.49056604504585266,11/27,13/20,2/6
17,1.0734122351034363,0.36069651770947586,1.1553611499922616,0.5094339847564697,12/27,14/20,1/6
18,1.074891662419732,0.47388059701492535,1.1540802121162415,0.5471698045730591,14/27,14/20,1/6
19,1.0733713961359281,0.577114428157237,1.1513241231441498,0.49056604504585266,11/27,14/20,1/6
20,1.0721801225818806,0.5447761194029851,1.150584306035723,0.49056604504585266,12/27,12/20,2/6
21,1.068909892395361,0.4539800997990281,1.151449203491211,0.5471698045730591,16/27,12/20,1/6
22,1.07151325247181,0.6218905475602221,1.1476890657629286,0.49056604504585266,10/27,14/20,2/6
23,1.0659563105497787,0.4154228857204096,1.150698491505214,0.5471698045730591,16/27,12/20,1/6
24,1.0646192031120187,0.5932835820895522,1.1468488701752253,0.5283018946647644,13/27,13/20,2/6
25,1.062063955548984,0.573383084873655,1.1447109920637948,0.49056604504585266,9/27,14/20,3/6
26,1.0635846461822738,0.5435323386049983,1.1441572223390852,0.4716981053352356,11/27,12/20,2/6
27,1.0635860277645623,0.6032338311423117,1.141528891665595,0.3962264060974121,5/27,13/20,3/6
28,1.0553856545419835,0.3880597014925373,1.1486028347696577,0.5283018946647644,17/27,10/20,1/6
29,1.0561804468952007,0.585820895522388,1.1455521839005607,0.5283018946647644,16/27,11/20,1/6
30,1.0518636076308008,0.5945273633323499,1.13931319969041,0.4716981053352356,9/27,13/20,3/6
31,1.0519647802879561,0.5348258707950364,1.14034480707986,0.43396228551864624,10/27,11/20,2/6
32,1.049164375262474,0.4925373134328358,1.1430937520095281,0.5094339847564697,15/27,11/20,1/6
33,1.0468592803869674,0.5808457714408192,1.1377907480512346,0.5094339847564697,11/27,14/20,2/6
34,1.0426734152124888,0.5870646767651857,1.1340707966259547,0.43396228551864624,5/27,14/20,4/6
35,1.0462869414642675,0.560945273780111,1.1334726555006844,0.4150943458080292,6/27,13/20,3/6
36,1.0410906957156623,0.4552238805970149,1.1415715558188302,0.5094339847564697,15/27,11/20,1/6
37,1.043271584297294,0.5472636818885803,1.1416964999267034,0.5660377740859985,15/27,14/20,1/6
38,1.0380959599765378,0.5435323386049983,1.1428018765790122,0.5660377740859985,15/27,14/20,1/6
39,1.0345858175363114,0.6243781096010066,1.1362009389059884,0.5471698045730591,15/27,13/20,1/6
40,1.0321356538516373,0.6069651744258937,1.133615187236241,0.43396228551864624,11/27,11/20,1/6
41,1.0323213934898376,0.5995024878587296,1.13185886825834,0.4528301954269409,10/27,11/20,3/6
42,1.0250545918051877,0.5547263684557445,1.1315391957759857,0.5094339847564697,11/27,14/20,2/6
43,1.024192383485054,0.5845771147244012,1.1277193639959608,0.4150943458080292,5/27,14/20,3/6
44,1.0219406423284048,0.5012437812427977,1.1333003001553672,0.5094339847564697,13/27,13/20,1/6
45,1.0239992542053336,0.5646766170636931,1.1284735415663039,0.4528301954269409,9/27,14/20,1/6
46,1.0147600547591251,0.5248756221870878,1.1400721967220306,0.5471698045730591,15/27,13/20,1/6
47,1.0121194951569856,0.557213930496529,1.139449451650892,0.5660377740859985,15/27,14/20,1/6
48,1.006694440521411,0.6355721394517528,1.125085630587169,0.35849058628082275,5/27,11/20,3/6
49,1.0085057011291163,0.5398009953214161,1.1253371451582228,0.49056604504585266,10/27,13/20,3/6
50,1.0037655083101187,0.5721393036308573,1.1286579881395613,0.43396228551864624,11/27,11/20,1/6
TEST,,,1.7414519573960985,0.2641509473323822,8/20,6/20,0/13
