epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
1,3.3447938554767354,0.34825870661593195,1.3915370851755142,0.5094339847564697,27/27,0/20,0/6,,,,,
2,1.4536260495434945,0.291044776119403,1.2069917917251587,0.1320754736661911,0/27,1/20,6/6,,,,,
3,1.1965958956462235,0.21019900512339465,1.1580180100032262,0.16981132328510284,0/27,3/20,6/6,,,,,
4,1.1077007304376632,0.09825870661593195,1.1651140281132288,0.11320754885673523,0/27,0/20,6/6,,,,,
5,1.1018141988498062,0.09452736333234986,1.165181270667485,0.11320754885673523,0/27,0/20,6/6,,,,,
6,1.0993543178287906,0.09328358208955224,1.1655128257615226,0.11320754885673523,0/27,0/20,6/6,,,,,
7,1.099925572302804,0.08955223880597014,1.1656937769481115,0.11320754885673523,0/27,0/20,6/6,,,,,
8,1.098575931876453,0.09328358208955224,1.1658474547522408,0.11320754885673523,0/27,0/20,6/6,,,,,
9,1.1077185717981253,0.1131840797502603,1.1659623214176722,0.11320754885673523,0/27,0/20,6/6,,,,,
10,1.0984148970290797,0.09328358208955224,1.1661283884729658,0.11320754885673523,0/27,0/20,6/6,,,,,
11,1.0999235742127718,0.08955223880597014,1.1663097313472204,0.11320754885673523,0/27,0/20,6/6,,,,,
12,1.0984428836338556,0.09328358208955224,1.1667047483580453,0.11320754885673523,0/27,0/20,6/6,,,,,
13,1.1062410340380313,0.09577114457514749,1.1668998003005981,0.11320754885673523,0/27,0/20,6/6,,,,,
14,1.0988906684206492,0.09328358208955224,1.166981109551021,0.11320754885673523,0/27,0/20,6/6,,,,,
15,1.0981938171742567,0.09328358208955224,1.1669250130653381,0.11320754885673523,0/27,0/20,6/6,,,,,
16,1.098068637634391,0.09328358208955224,1.1671064581189836,0.11320754885673523,0/27,0/20,6/6,,,,,
17,1.1052211389612796,0.09577114457514749,1.167247738157,0.11320754885673523,0/27,0/20,6/6,,,,,
18,1.0987241899789268,0.09328358208955224,1.1672676035336085,0.11320754885673523,0/27,0/20,6/6,,,,,
19,1.0973852134462614,0.09328358208955224,1.1674136774880546,0.11320754885673523,0/27,0/20,6/6,,,,,
20,1.0979630502302256,0.09328358208955224,1.1675219110080175,0.11320754885673523,0/27,0/20,6/6,,,,,
21,1.0985754452534575,0.09328358208955224,1.1677297609192985,0.11320754885673523,0/27,0/20,6/6,,,,,
22,1.1013004103703286,0.09452736333234986,1.1678055269377572,0.11320754885673523,0/27,0/20,6/6,,,,,
23,1.0985437854012448,0.09328358208955224,1.16803035565785,0.11320754885673523,0/27,0/20,6/6,,,,,
24,1.097808599472046,0.09328358208955224,1.168085251535688,0.11320754885673523,0/27,0/20,6/6,,,,,
25,1.0978659880695059,0.09328358208955224,1.1680533119610377,0.11320754885673523,0/27,0/20,6/6,,,,,
26,1.0977474815809904,0.09328358208955224,1.1681577392986842,0.11320754885673523,0/27,0/20,6/6,,,,,
27,1.0984572528013543,0.09328358208955224,1.1682610852377755,0.11320754885673523,0/27,0/20,6/6,,,,,
28,1.0977829516823612,0.09328358208955224,1.1682197451591492,0.11320754885673523,0/27,0/20,6/6,,,,,
29,1.097798575216265,0.09328358208955224,1.1683531062943595,0.11320754885673523,0/27,0/20,6/6,,,,,
30,1.101888411970281,0.09452736333234986,1.1685903412955148,0.11320754885673523,0/27,0/20,6/6,,,,,
