epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
1,1.1866427341948693,0.3793532341273863,1.166835993528366,0.37735849618911743,0/27,20/20,0/6,,,,,
2,1.0999035070191567,0.31094527378011105,1.1666666184152876,0.37735849618911743,0/27,20/20,0/6,,,,,
3,1.0992901850102552,0.31094527378011105,1.1667878712926592,0.37735849618911743,0/27,20/20,0/6,,,,,
4,1.0993006042580107,0.31094527378011105,1.1671964611325945,0.37735849618911743,0/27,20/20,0/6,,,,,
5,1.0987834192034025,0.31094527378011105,1.1673074960708618,0.37735849618911743,0/27,20/20,0/6,,,,,
6,1.098797737662472,0.31094527378011105,1.167497558253152,0.37735849618911743,0/27,20/20,0/6,,,,,
7,1.0986938369807913,0.31094527378011105,1.1677156729357583,0.37735849618911743,0/27,20/20,0/6,,,,,
8,1.0989910764480704,0.31094527378011105,1.1678094267845154,0.37735849618911743,0/27,20/20,0/6,,,,,
9,1.098176863656115,0.31094527378011105,1.168049624988011,0.37735849618911743,0/27,20/20,0/6,,,,,
10,1.0975223601754032,0.30970149253731344,1.1683750237737383,0.37735849618911743,0/27,20/20,0/6,,,,,
11,1.0993772202463292,0.31343283582089554,1.1681811468941825,0.37735849618911743,0/27,20/20,0/6,,,,,
12,1.0986665789760761,0.31218905502290867,1.168556375162942,0.37735849618911743,0/27,20/20,0/6,,,,,
13,1.098316539579363,0.31094527378011105,1.1684544341904777,0.37735849618911743,0/27,20/20,0/6,,,,,
14,1.097988271891181,0.31094527378011105,1.1685208933694022,0.37735849618911743,0/27,20/20,0/6,,,,,
15,1.1027205488575038,0.31218905502290867,1.1688197893755776,0.37735849618911743,0/27,20/20,0/6,,,,,
16,1.1022288977210202,0.2587064678099618,1.1688136628695898,0.37735849618911743,0/27,20/20,0/6,,,,,
17,1.0988162773758618,0.31218905502290867,1.1686576689992632,0.37735849618911743,0/27,20/20,0/6,,,,,
18,1.0990565668291121,0.31218905502290867,1.1687660132135664,0.37735849618911743,0/27,20/20,0/6,,,,,
