epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_c0,test_c1,test_c2
1,1.1079730869673972,0.47263681621693854,1.0690547781331199,0.5094339847564697,27/27,0/20,0/6,best,,,,,
2,1.0661255886305625,0.5932835820895522,1.1041100195475988,0.5094339847564697,27/27,0/20,0/6,,,,,,
3,1.088281585654216,0.5932835820895522,1.0410765686205454,0.5094339847564697,27/27,0/20,0/6,best,,,,,
4,1.0035458527394194,0.5970149253731343,1.030815771647862,0.5094339847564697,27/27,0/20,0/6,best,,,,,
5,0.9556854736449113,0.6044776119402985,1.0871432998350687,0.5094339847564697,27/27,0/20,0/6,,,,,,
6,0.9427788039641594,0.6069651744258937,1.0139500967093877,0.5471698045730591,24/27,5/20,0/6,best,,,,,
7,0.8768056284135847,0.6666666669632072,1.022780526961599,0.5094339847564697,26/27,1/20,0/6,,,,,,
8,0.8666606189599678,0.659203980396043,0.9947046892983573,0.5660377740859985,24/27,6/20,0/6,best,,,,,
9,0.8380378017674631,0.6791044776119403,0.9637430437973568,0.5471698045730591,22/27,7/20,0/6,best,,,,,
10,0.7625385102496218,0.6990049752726484,1.0241388444389616,0.5283018946647644,26/27,2/20,0/6,,,,,,
11,0.7590668555071105,0.7151741296497743,0.9689005038567952,0.5471698045730591,26/27,3/20,0/6,,,,,,
12,0.7122353915847949,0.7350746268656716,0.9514815040997097,0.5471698045730591,25/27,4/20,0/6,best,,,,,
13,0.5999912824203719,0.7898009953214161,1.0688543979610716,0.5283018946647644,27/27,1/20,0/6,,,,,,
14,0.5898633292361871,0.8059701492537313,0.960142908351762,0.5471698045730591,26/27,3/20,0/6,,,,,,
15,0.502468545267831,0.8694029850746269,0.9775235440049853,0.49056604504585266,23/27,3/20,0/6,,,,,,
16,0.48291405190282793,0.8383084580079833,0.9186969229153225,0.5660377740859985,20/27,10/20,0/6,best,,,,,
17,0.43795485427575326,0.8656716417910447,0.9567211249044963,0.5283018946647644,24/27,4/20,0/6,,,,,,
18,0.4219285205229005,0.8594527364666782,1.159104966691562,0.5283018946647644,24/27,4/20,0/6,,,,,,
19,0.34439124817501254,0.9067164179104478,1.089553279536111,0.5094339847564697,25/27,2/20,0/6,,,,,,
20,0.2860807921014615,0.905472637112461,0.9358839052064079,0.5660377740859985,20/27,9/20,1/6,,,,,,
21,0.24870907327632852,0.9589552238805971,0.995532193354198,0.5283018946647644,21/27,6/20,1/6,,,,,,
22,0.2475011842464333,0.9365671641791045,1.0461152781333243,0.5849056839942932,20/27,11/20,0/6,,,,,,
23,0.26985435468603425,0.9241293535303714,0.9748879309211459,0.6415094137191772,23/27,11/20,0/6,,,,,,
24,0.17567794997967892,0.9664179104477612,1.0449725086135524,0.5471698045730591,23/27,6/20,0/6,,,,,,
25,0.14130047664268694,0.9589552238805971,1.0000042649252074,0.6037735939025879,22/27,10/20,0/6,,,,,,
26,0.13872455159174418,0.9738805970149254,2.2835650673867867,0.5283018946647644,27/27,1/20,0/6,,,,,,
27,0.16524115377522783,0.9365671641791045,1.1361943392881326,0.6037735939025879,24/27,8/20,0/6,,,,,,
28,0.1156825556510142,0.9738805970149254,1.099087093025446,0.6226415038108826,23/27,9/20,1/6,,,,,,
29,0.10358553766898478,0.9626865671641791,1.2060494066349097,0.5660377740859985,24/27,6/20,0/6,,,,,,
30,0.10009645526610148,0.9664179104477612,1.3812060192493456,0.6037735939025879,24/27,8/20,0/6,,,,,,
31,0.07809453726739192,0.9813432835820896,1.437191227717059,0.5660377740859985,24/27,6/20,0/6,,,,,,
