epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,1.3116753635121816,0.3706467663174245,1.118246146610805,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,best,,,,,,
2,1.2651520629427326,0.35074626865671643,1.1667015850543976,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,best,,,,,,
3,1.2697489101495316,0.3781094528845887,1.1390562568392073,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,best,,,,,,
4,1.2036815356852404,0.3407960200487678,1.0876116284302302,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,best,,,,,,
5,1.238721571751495,0.31094527378011105,1.0677515821797507,0.2075471729040146,0.39938271604938275,4/27,1/20,6/6,best,,,,,,
6,1.2611376171681419,0.3743781096010066,1.0764856551374709,0.1320754736661911,0.345679012345679,1/27,0/20,6/6,,,,,,,
7,1.2325859167682591,0.409203980396043,1.0725179612636566,0.2641509473323822,0.38888888888888884,0/27,10/20,4/6,,,,,,,
8,1.1727232363686633,0.3843283582089552,1.124074740069253,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,,,,,,,
9,1.1576444293136028,0.43905472666469975,1.0956772565841675,0.1320754736661911,0.35000000000000003,0/27,1/20,6/6,,,,,,,
10,1.190357247395302,0.38184079616817074,1.064412202153887,0.3207547068595886,0.4388888888888889,0/27,13/20,4/6,best,,,,,,
11,1.1743069718133157,0.45149253731343286,1.0681417839867728,0.16981132328510284,0.37469135802469133,2/27,1/20,6/6,,,,,,,
12,1.156550733900782,0.458955223880597,1.0938570073672704,0.1320754736661911,0.35000000000000003,0/27,1/20,6/6,,,,,,,
13,1.0924780235361697,0.4427860699482818,1.0930567298616682,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,,,,,,,
14,1.0718643131540782,0.4701492537313433,1.0424544555800301,0.2641509473323822,0.45802469135802465,2/27,6/20,6/6,best,,,,,,
15,1.0445236563682556,0.46517412964977434,1.0633456451552254,0.24528302252292633,0.45,0/27,7/20,6/6,,,,,,,
16,1.0324298881772738,0.5062189057691774,1.0206785244601113,0.30188679695129395,0.478395061728395,5/27,5/20,6/6,best,,,,,,
17,1.0135233473421923,0.5335820895522388,0.984593106167657,0.5094339847564697,0.5666666666666667,9/27,14/20,4/6,best,,,,,,
18,0.9953433106194681,0.5422885573622006,1.033372734274183,0.30188679695129395,0.487037037037037,3/27,7/20,6/6,,,,,,,
19,1.0333063139844296,0.5497512439293648,1.0015390089579992,0.37735849618911743,0.5666666666666667,0/27,14/20,6/6,best,,,,,,
20,0.952524762545059,0.5621890550229087,1.0428138971328735,0.28301888704299927,0.4703703703703703,3/27,6/20,6/6,,,,,,,
21,0.9981881709241155,0.5659203983064908,1.0157748758792877,0.37735849618911743,0.5148148148148148,3/27,12/20,5/6,,,,,,,
22,0.9760581441779634,0.5199004976607081,1.0436481876032693,0.3207547068595886,0.4777777777777778,0/27,12/20,5/6,,,,,,,
23,0.9792507708962284,0.5584577117393266,0.9957513085433415,0.3962264060974121,0.5271604938271605,4/27,12/20,5/6,,,,,,,
24,0.9277940935163356,0.5708955223880597,1.0873024123055595,0.28301888704299927,0.4444444444444444,9/27,0/20,6/6,,,,,,,
25,0.8917935019108787,0.5621890550229087,1.020885659115655,0.3396226465702057,0.5030864197530864,7/27,5/20,6/6,,,,,,,
26,0.9086387179680725,0.560945273780111,0.9694380802767617,0.49056604504585266,0.5888888888888889,9/27,12/20,5/6,best,,,,,,
27,0.859742304282402,0.6393034827353349,0.9686507838112968,0.49056604504585266,0.575925925925926,12/27,9/20,5/6,,,,,,,
28,0.8479470072397545,0.6181592042766401,0.9545965024403164,0.4528301954269409,0.4259259259259259,12/27,10/20,2/6,,,,,,,
29,0.7926760049008611,0.6256218908438042,0.9652809585843768,0.43396228551864624,0.5345679012345679,10/27,8/20,5/6,,,,,,,
30,0.8440098148673328,0.5995024878587296,0.9963589651244027,0.3396226465702057,0.4728395061728395,5/27,8/20,5/6,,,,,,,
31,0.8256832983956408,0.6082089552238806,0.9411529047148568,0.4716981053352356,0.4080246913580247,20/27,3/20,2/6,,,,,,,
32,0.7979356652097915,0.6380597014925373,0.9834647221224648,0.3962264060974121,0.5055555555555555,9/27,7/20,5/6,,,,,,,
33,0.7985387666901546,0.6268656716417911,0.970050356217793,0.4528301954269409,0.5382716049382715,13/27,6/20,5/6,,,,,,,
34,0.7519144740567278,0.6492537313432836,0.9557510018348694,0.49056604504585266,0.5024691358024691,20/27,2/20,4/6,,,,,,,
35,0.7512657771359629,0.6878109454219021,0.9621866515704564,0.49056604504585266,0.545679012345679,10/27,12/20,4/6,,,,,,,
36,0.7194249576597072,0.7139303484069768,1.0064332314899989,0.37735849618911743,0.4845679012345679,10/27,5/20,5/6,,,,,,,
37,0.7320325961753503,0.6666666669632072,0.9677873126098088,0.43396228551864624,0.478395061728395,14/27,5/20,4/6,,,,,,,
38,0.759516138639023,0.6517412938288788,0.9232380134718758,0.6037735939025879,0.5981481481481481,12/27,17/20,3/6,best,,,,,,
39,0.7195970338227143,0.6442786072617146,0.9217647271496909,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,,
40,0.7132989199303869,0.6567164179104478,0.9216298929282597,0.5849056839942932,0.5728395061728394,14/27,14/20,3/6,,,,,,,
41,0.6746291131225984,0.7077114430826101,0.9241917261055538,0.49056604504585266,0.4765432098765432,17/27,6/20,3/6,,,,,,,
42,0.732628245407076,0.6405472639781326,0.9753449516636985,0.43396228551864624,0.48271604938271606,13/27,6/20,4/6,,,,,,,
43,0.660230749689821,0.7089552238805971,0.9323181509971619,0.5094339847564697,0.49320987654320986,17/27,7/20,3/6,,,,,,,
44,0.6748969334719787,0.6890547266646997,0.9291752236230033,0.5471698045730591,0.6129629629629629,6/27,19/20,4/6,best,,,,,,
45,0.691219050270408,0.6393034827353349,0.9168720926557269,0.5283018946647644,0.5487654320987655,17/27,7/20,4/6,,,,,,,
46,0.6297676420923489,0.7064676618398126,0.9326392156737191,0.5094339847564697,0.5234567901234568,19/27,4/20,4/6,,,,,,,
47,0.6468510954682507,0.6890547266646997,0.9538955773626056,0.5283018946647644,0.6049382716049383,13/27,10/20,5/6,,,,,,,
48,0.5906071200299619,0.7375621893512669,0.934563330241612,0.6037735939025879,0.637037037037037,12/27,16/20,4/6,best,,,,,,
49,0.6242544201772604,0.6828358208955224,0.9358136568750653,0.5660377740859985,0.5993827160493826,13/27,13/20,4/6,,,,,,,
50,0.6072913988757489,0.7425373134328358,0.9449846148490906,0.5660377740859985,0.6209876543209877,8/27,18/20,4/6,,,,,,,
51,0.6731636365180584,0.6480099505452968,0.9552870690822601,0.49056604504585266,0.528395061728395,14/27,8/20,4/6,,,,,,,
52,0.612956634430743,0.7151741296497743,0.990836215870721,0.4528301954269409,0.49506172839506174,14/27,6/20,4/6,,,,,,,
53,0.6488327568591531,0.6853233833811176,0.9592388442584446,0.5660377740859985,0.5950617283950618,14/27,12/20,4/6,,,,,,,
