epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
1,1.0937386021685245,0.5696517415900728,1.0392407987798964,0.5094339847564697,27/27,0/20,0/6,,,,,
2,1.0773014768735687,0.5957711445751475,1.0217662964548384,0.5094339847564697,27/27,0/20,0/6,,,,,
3,1.0597308745135123,0.5907960200487677,1.0542543764625276,0.5094339847564697,27/27,0/20,0/6,,,,,
4,0.9959337733574768,0.5659203983064908,1.013316226857049,0.5283018946647644,17/27,11/20,0/6,,,,,
5,0.9487388058384852,0.6131840797502603,1.0354433038405009,0.5660377740859985,27/27,3/20,0/6,,,,,
6,0.9125158052835891,0.6380597014925373,1.0385566864694868,0.5471698045730591,22/27,7/20,0/6,,,,,
7,0.9580029057922648,0.6666666669632072,1.0809547390256609,0.5660377740859985,27/27,3/20,0/6,,,,,
8,0.8380721522800958,0.6442786072617146,1.0128686215196336,0.5471698045730591,21/27,8/20,0/6,,,,,
9,0.8756296189863291,0.6654228857204095,1.0275176082338606,0.5283018946647644,20/27,7/20,1/6,,,,,
10,0.8221825169983195,0.664179104477612,1.0781963574034827,0.5660377740859985,27/27,3/20,0/6,,,,,
11,0.7927910445341423,0.6878109454219021,1.009368672966957,0.5660377740859985,21/27,9/20,0/6,,,,,
12,0.753969916212025,0.7338308460676848,1.0263234036309379,0.49056604504585266,16/27,10/20,0/6,,,,,
13,0.6987251904028565,0.75,1.0351797768047877,0.5094339847564697,17/27,10/20,0/6,,,,,
14,0.6806719160791653,0.75,1.032226943543979,0.5283018946647644,18/27,10/20,0/6,,,,,
15,0.6363498019193535,0.7674129356199236,1.0780307735715593,0.5660377740859985,21/27,9/20,0/6,,,,,
16,0.6230202735359989,0.8022388059701493,1.044232970901898,0.5283018946647644,19/27,9/20,0/6,,,,,
17,0.5077610793175982,0.8420398012915654,1.0477315996374403,0.5283018946647644,17/27,10/20,1/6,,,,,
18,0.5419934017222319,0.7985074626865671,1.104442800794329,0.5283018946647644,23/27,5/20,0/6,,,,,
19,0.45299922118880853,0.8681592042766401,1.1305751651525497,0.5471698045730591,21/27,7/20,1/6,,,,,
20,0.44330574260718786,0.8706467663174244,1.165619671344757,0.5471698045730591,23/27,5/20,1/6,,,,,
21,0.4250069857755704,0.8731343283582089,1.1361407595021384,0.5094339847564697,18/27,9/20,0/6,,,,,
22,0.38313394979532084,0.8955223880597015,1.1940120543752397,0.5094339847564697,17/27,10/20,0/6,,,,,
23,0.3564316145519712,0.8917910447761194,1.1682489003453935,0.49056604504585266,17/27,9/20,0/6,,,,,
24,0.281464042614645,0.9291044776119403,1.2374974127326692,0.5471698045730591,21/27,8/20,0/6,,,,,
25,0.3166421230381994,0.9203980102467892,1.2321752309799194,0.5094339847564697,18/27,8/20,1/6,,,,,
26,0.2564871291171259,0.9402985074626866,1.4025218135544233,0.5283018946647644,23/27,5/20,0/6,,,,,
27,0.2220177240947734,0.9477611940298507,1.3505038725478309,0.5283018946647644,21/27,6/20,1/6,,,,,
28,0.2460913865535117,0.9440298507462687,1.3307083770632744,0.49056604504585266,17/27,9/20,0/6,,,,,
29,0.19983781849159232,0.9427860699482818,1.4122856951185636,0.5094339847564697,19/27,8/20,0/6,,,,,
30,0.18384190379127638,0.9440298507462687,1.4351943848388535,0.5660377740859985,23/27,7/20,0/6,,,,,
31,0.12980062508983398,0.9813432835820896,1.4671399955238615,0.5283018946647644,19/27,9/20,0/6,,,,,
32,0.13953219385428436,0.9701492537313433,1.4720113862838065,0.5094339847564697,19/27,8/20,0/6,,,,,
33,0.10015400306585787,0.9813432835820896,1.7106915744287627,0.5660377740859985,24/27,6/20,0/6,,,,,
34,0.13028722204295778,0.9626865671641791,1.6170571755085672,0.5094339847564697,19/27,8/20,0/6,,,,,
35,0.12066891418644853,0.9664179104477612,1.9069334510713816,0.5283018946647644,21/27,6/20,1/6,,,,,
36,0.08669439989920538,0.9850746268656716,1.7221428847738676,0.5283018946647644,19/27,9/20,0/6,,,,,
37,0.05437323807933326,0.996268656716418,1.8117769198226077,0.5283018946647644,21/27,7/20,0/6,,,,,
38,0.05537760058598621,0.9888059701492538,1.9983694649168424,0.5660377740859985,23/27,7/20,0/6,,,,,
39,0.06759697027024883,0.9813432835820896,2.0338701190693036,0.5283018946647644,20/27,8/20,0/6,,,,,
40,0.06027278560474376,0.9813432835820896,1.9690411197287696,0.5471698045730591,19/27,9/20,1/6,,,,,
41,0.05251681276878564,0.9813432835820896,1.9839860945940018,0.5849056839942932,21/27,9/20,1/6,,,,,
42,0.04940559500793634,0.9925373134328358,2.0345703097326413,0.5660377740859985,21/27,8/20,1/6,,,,,
43,0.03020277659325346,1.0,2.0035577544144223,0.5094339847564697,17/27,9/20,1/6,,,,,
44,0.04236781586799076,0.9888059701492538,2.1860773967845097,0.5283018946647644,19/27,9/20,0/6,,,,,
45,0.022057281233241726,1.0,2.2987923515694484,0.5094339847564697,21/27,6/20,0/6,,,,,
46,0.019045020744235797,1.0,2.3417313202018186,0.5660377740859985,21/27,9/20,0/6,,,,,
47,0.014725454224770064,0.996268656716418,2.335054036961602,0.5471698045730591,21/27,8/20,0/6,,,,,
48,0.014900687634128272,1.0,2.4606538778170943,0.5094339847564697,19/27,8/20,0/6,,,,,
49,0.02882547020119851,0.991293532634849,2.4492285693330422,0.49056604504585266,18/27,7/20,1/6,,,,,
50,0.01972356108634093,1.0,2.396389804514391,0.49056604504585266,18/27,7/20,1/6,,,,,
TEST,,,,,,,,3.5295317935857122,0.3396226465702057,14/20,4/20,0/13
