epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,lr,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,1.1052629903181275,0.3258706469144394,1.0572255849838257,0.49056604504585266,0.36419753086419754,16/27,10/20,0/6,0.0001,best,,,,,,
2,1.1192921070910211,0.34452736333234985,1.0813434379441398,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,0.0001,,,,,,,
3,1.1080857177278889,0.35199004989951405,1.0744407773017883,0.5283018946647644,0.4493827160493827,13/27,14/20,1/6,0.0001,best,,,,,,
4,1.0998743381073226,0.30721393049652895,1.0634423579488481,0.5471698045730591,0.4444444444444444,9/27,20/20,0/6,0.0001,,,,,,,
5,1.06995950972856,0.4465174132318639,1.0886593461036682,0.37735849618911743,0.42407407407407405,15/27,1/20,4/6,0.0001,,,,,,,
6,1.0779336397327595,0.38681592069455045,1.05017055783953,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,0.0001,,,,,,,
7,1.0691775768550473,0.4378109454219021,1.0480688938072749,0.49056604504585266,0.41604938271604935,22/27,2/20,2/6,0.0001,,,,,,,
8,1.013225108829897,0.47636815950052064,1.032404512166977,0.5660377740859985,0.5345679012345679,19/27,8/20,3/6,0.0001,best,,,,,,
9,1.0015040164563194,0.5522388059701493,1.0309731577123915,0.4716981053352356,0.35185185185185186,24/27,0/20,1/6,0.0001,,,,,,,
10,1.0096709327911264,0.4875621893512669,1.0553317495754786,0.4528301954269409,0.48209876543209873,17/27,3/20,4/6,0.0001,,,,,,,
11,0.986911988970059,0.458955223880597,1.0115059145859309,0.4716981053352356,0.4037037037037037,21/27,2/20,2/6,0.0001,,,,,,,
12,0.9739252969400206,0.4975124379592155,1.028894088097981,0.4150943458080292,0.4401234567901235,10/27,9/20,3/6,0.0001,,,,,,,
13,0.9346974518761706,0.5323383087542519,0.9898034632205963,0.5283018946647644,0.4364197530864198,25/27,1/20,2/6,0.0001,,,,,,,
14,0.8926541013504142,0.5534825872129469,1.034022514309202,0.3962264060974121,0.42777777777777776,0/27,19/20,2/6,0.0001,,,,,,,
15,0.9286662678220379,0.5410447761194029,1.0237858210291182,0.43396228551864624,0.41358024691358025,11/27,10/20,2/6,0.0001,,,,,,,
16,0.9583509875767267,0.5024875624855952,0.995893520968301,0.5094339847564697,0.3938271604938271,22/27,4/20,1/6,0.0001,,,,,,,
17,0.9102372028934422,0.5273631842278722,1.0274218150547572,0.4528301954269409,0.4302469135802469,11/27,11/20,2/6,0.0001,,,,,,,
18,0.8866656698397736,0.6069651744258937,1.0616686855043684,0.4150943458080292,0.47469135802469137,2/27,17/20,3/6,0.0001,,,,,,,
19,0.9119467850941331,0.5808457714408192,1.004574647971562,0.43396228551864624,0.38765432098765434,8/27,14/20,1/6,0.0001,,,,,,,
20,0.864506470623301,0.5721393036308573,1.0018529636519296,0.4528301954269409,0.49938271604938267,13/27,7/20,4/6,0.0001,,,,,,,
21,0.8309917147479841,0.6144278609930579,0.9935947230884007,0.5094339847564697,0.3938271604938271,22/27,4/20,1/6,0.0001,,,,,,,
22,0.8262120000462034,0.6181592042766401,0.9528624883719853,0.49056604504585266,0.38580246913580246,20/27,5/20,1/6,0.0001,,,,,,,
23,0.8144954549732493,0.5907960200487677,0.9443933367729187,0.4528301954269409,0.43456790123456784,10/27,12/20,2/6,0.0001,,,,,,,
24,0.8239277699100438,0.6218905475602221,0.9905698256833213,0.5094339847564697,0.5061728395061729,14/27,10/20,3/6,5e-05,,,,,,,
25,0.8202970784101913,0.573383084873655,0.960260020835059,0.4716981053352356,0.41234567901234565,19/27,4/20,2/6,5e-05,,,,,,,
26,0.7709768036408211,0.6330845774109684,0.9583053077970233,0.49056604504585266,0.4290123456790123,19/27,5/20,2/6,5e-05,,,,,,,
27,0.747593331248013,0.6815920400975356,0.9654781435217176,0.5094339847564697,0.3938271604938271,22/27,4/20,1/6,5e-05,,,,,,,
28,0.7846335795388293,0.6293532341273863,0.9773606530257634,0.49056604504585266,0.4506172839506173,14/27,10/20,2/6,5e-05,,,,,,,
29,0.7569268207941482,0.655472637112461,0.9556399583816528,0.49056604504585266,0.44629629629629636,15/27,9/20,2/6,5e-05,,,,,,,
30,0.7609043014583303,0.6977611940298507,0.9608872958592006,0.5094339847564697,0.454320987654321,17/27,8/20,2/6,5e-05,,,,,,,
31,0.7699055658347571,0.6492537313432836,0.9645785646779197,0.49056604504585266,0.4419753086419753,16/27,8/20,2/6,5e-05,,,,,,,
32,0.7341354742868623,0.68407960213832,0.9887966939381191,0.4528301954269409,0.5296296296296296,6/27,14/20,4/6,5e-05,,,,,,,
33,0.7379818296254571,0.6579601991532454,0.9835524771894727,0.4716981053352356,0.5203703703703704,12/27,9/20,4/6,5e-05,,,,,,,
34,0.7327768397865011,0.6666666669632072,0.9381446412631443,0.5094339847564697,0.40246913580246907,20/27,6/20,1/6,5e-05,,,,,,,
35,0.7618725749094095,0.6405472639781326,0.9403184950351715,0.49056604504585266,0.40740740740740744,15/27,10/20,1/6,5e-05,,,,,,,
36,0.7058813834368293,0.7114427863661923,0.9435134700366429,0.4528301954269409,0.3654320987654321,17/27,6/20,1/6,5e-05,,,,,,,
37,0.7246513740340276,0.6691542290039917,0.9394152292183467,0.4528301954269409,0.412962962962963,15/27,7/20,2/6,5e-05,,,,,,,
38,0.6793513300258722,0.7300995027841027,0.9301940245287759,0.43396228551864624,0.36172839506172844,14/27,8/20,1/6,5e-05,,,,,,,
39,0.7130177554799549,0.7027363185562304,0.9129122878823962,0.49056604504585266,0.38580246913580246,20/27,5/20,1/6,5e-05,,,,,,,
40,0.6993704869675992,0.7089552238805971,0.9369712769985199,0.43396228551864624,0.3833333333333333,9/27,13/20,1/6,2.5e-05,,,,,,,
41,0.7088792722171812,0.6778606968139534,0.9366304576396942,0.4150943458080292,0.3709876543209876,8/27,13/20,1/6,2.5e-05,,,,,,,
