epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_c0,test_c1,test_c2
1,1.047823990014062,0.4987562192020132,1.0426111263888223,0.4150943458080292,2/27,20/20,0/6,best,,,,,
2,1.045759276222827,0.5621890550229087,1.0434884769575936,0.5094339847564697,27/27,0/20,0/6,best,,,,,
3,1.0637236250870263,0.5547263684557445,1.0441770596163613,0.5094339847564697,27/27,0/20,0/6,best,,,,,
4,1.0108262015812433,0.5236318409442902,1.0386748015880585,0.6037735939025879,23/27,9/20,0/6,best,,,,,
5,1.0629845657455388,0.5758706469144395,1.0389434822968073,0.49056604504585266,25/27,1/20,0/6,,,,,,
6,1.0052202032573188,0.5783582089552238,1.036702232701438,0.4716981053352356,25/27,0/20,0/6,,,,,,
7,1.0340617970744175,0.5845771147244012,1.0299269258975983,0.49056604504585266,25/27,1/20,0/6,,,,,,
8,1.0068456406023965,0.5634328358208955,1.0306015142372675,0.49056604504585266,25/27,1/20,0/6,,,,,,
9,1.0244339281943307,0.5435323386049983,1.0346809881074088,0.5094339847564697,27/27,0/20,0/6,,,,,,
10,1.0365287750514585,0.5833333334816035,1.0293354094028473,0.5094339847564697,27/27,0/20,0/6,,,,,,
11,1.0028817884957613,0.5497512439293648,1.0369607508182526,0.5094339847564697,27/27,0/20,0/6,,,,,,
12,1.0081047291186318,0.577114428157237,1.0342187285423279,0.5094339847564697,27/27,0/20,0/6,,,,,,
13,0.9693617331447886,0.5995024878587296,1.02598380616733,0.49056604504585266,18/27,8/20,0/6,,,,,,
14,0.9609038771978066,0.577114428157237,1.0287134179047175,0.5094339847564697,25/27,2/20,0/6,,,,,,
15,0.9855575419183987,0.5957711445751475,1.0254554791109902,0.5094339847564697,21/27,6/20,0/6,,,,,,
16,1.0280256053405021,0.5211442789035057,1.0239008111613137,0.49056604504585266,25/27,1/20,0/6,,,,,,
17,0.9661862369793565,0.5584577117393266,1.0139968139784676,0.5471698045730591,20/27,9/20,0/6,,,,,,
18,0.9105769262385013,0.5895522388059702,1.0098102688789368,0.5471698045730591,22/27,7/20,0/6,,,,,,
19,0.9885310486181459,0.6355721394517528,1.0230637065001897,0.5094339847564697,27/27,0/20,0/6,,,,,,
20,0.9593870074891332,0.5920398012915654,1.030542539698737,0.49056604504585266,26/27,0/20,0/6,,,,,,
21,0.9494957123229752,0.6393034827353349,1.022196888923645,0.5094339847564697,27/27,0/20,0/6,,,,,,
22,0.9428899239248304,0.6044776119402985,0.9948942320687431,0.5283018946647644,21/27,7/20,0/6,,,,,,
23,0.9131938855149853,0.6256218908438042,0.9953001056398664,0.49056604504585266,19/27,7/20,0/6,,,,,,
24,0.9607990726606169,0.5845771147244012,1.0062736868858337,0.5094339847564697,17/27,10/20,0/6,,,,,,
25,0.8866241689938218,0.601990049899514,1.0027737021446228,0.5471698045730591,23/27,6/20,0/6,,,,,,
26,0.8695107863020541,0.5845771147244012,1.0022880264690943,0.5094339847564697,22/27,5/20,0/6,,,,,,
27,0.9054557534296122,0.6194029850746269,0.9906830745083945,0.5094339847564697,20/27,7/20,0/6,,,,,,
28,0.948978841304779,0.5945273633323499,0.9901378623076847,0.5094339847564697,17/27,10/20,0/6,,,,,,
29,0.8827214054207304,0.6181592042766401,0.9981048107147217,0.5094339847564697,22/27,5/20,0/6,,,,,,
30,0.90033998329248,0.6330845774109684,0.9950472457068307,0.5283018946647644,18/27,10/20,0/6,,,,,,
31,0.8729861859065383,0.6032338311423117,0.9932540314538139,0.49056604504585266,22/27,4/20,0/6,,,,,,
32,0.8759431149532546,0.6393034827353349,0.9832690528460911,0.49056604504585266,22/27,4/20,0/6,,,,,,
33,0.8022173976720269,0.6778606968139534,1.0035667036260878,0.5094339847564697,27/27,0/20,0/6,,,,,,
34,0.9082858317823552,0.6131840797502603,0.9809537870543343,0.49056604504585266,23/27,3/20,0/6,,,,,,
35,0.8593358059427632,0.6119402985074627,0.9716937243938446,0.49056604504585266,23/27,3/20,0/6,,,,,,
36,0.9087471414857836,0.6305970149253731,0.9632053332669395,0.5660377740859985,14/27,16/20,0/6,,,,,,
37,0.8297140358099296,0.6281094528845886,0.9570221219744001,0.49056604504585266,21/27,5/20,0/6,,,,,,
38,0.8455081813371004,0.6716417910447762,0.9624549576214382,0.5660377740859985,15/27,15/20,0/6,,,,,,
39,0.8785954758302489,0.6305970149253731,0.9625092680965152,0.49056604504585266,20/27,6/20,0/6,,,,,,
40,0.848665371759614,0.6853233833811176,0.9816243137632098,0.5283018946647644,25/27,3/20,0/6,,,,,,
41,0.7660561061617154,0.7176616916905588,0.949185984475272,0.5283018946647644,22/27,6/20,0/6,,,,,,
42,0.82990157871104,0.6293532341273863,0.9532127593244825,0.5283018946647644,22/27,6/20,0/6,,,,,,
43,0.8134672810782247,0.6728855722875737,0.9634917548724583,0.5283018946647644,23/27,5/20,0/6,,,,,,
44,0.8357642797836616,0.7101990051233946,0.9648897988455636,0.5283018946647644,22/27,6/20,0/6,,,,,,
45,0.8072967989676034,0.6940298507462687,0.9599304624966213,0.5471698045730591,22/27,7/20,0/6,,,,,,
46,0.7630420749756828,0.6890547266646997,0.957991191319057,0.5283018946647644,22/27,6/20,0/6,,,,,,
47,0.7827757683707707,0.662935323679625,0.9421312723840986,0.49056604504585266,16/27,10/20,0/6,,,,,,
48,0.739133139599615,0.7064676618398126,0.9582548567226955,0.49056604504585266,20/27,5/20,1/6,,,,,,
49,0.7672744936017848,0.6604477611940298,0.9450625734669822,0.5094339847564697,15/27,12/20,0/6,,,,,,
50,0.7541277308517428,0.7151741296497743,0.9573037496634892,0.49056604504585266,17/27,9/20,0/6,,,,,,
51,0.7356713040551143,0.7077114430826101,0.9637595074517387,0.5094339847564697,20/27,6/20,1/6,,,,,,
52,0.8143268663491776,0.6380597014925373,0.9502571885074887,0.5283018946647644,20/27,8/20,0/6,,,,,,
53,0.7455986922801431,0.6691542290039917,0.943258170570646,0.5283018946647644,16/27,10/20,2/6,,,,,,
54,0.7438420315287007,0.7077114430826101,0.95148994241442,0.5660377740859985,23/27,6/20,1/6,,,,,,
55,0.7183237707436975,0.7350746268656716,0.9617125242948532,0.5283018946647644,23/27,5/20,0/6,,,,,,
56,0.6572548422350812,0.7313432835820896,0.967335364648274,0.5471698045730591,23/27,5/20,1/6,,,,,,
57,0.7506654742938369,0.7077114430826101,0.9510483465024403,0.49056604504585266,18/27,7/20,1/6,,,,,,
58,0.7067293026554051,0.7039800997990281,0.9670486684356417,0.5283018946647644,20/27,7/20,1/6,,,,,,
59,0.6744040755638435,0.6728855722875737,0.9806227002825055,0.5660377740859985,23/27,6/20,1/6,,,,,,
60,0.6714513671042314,0.725124378257723,0.9526852284158979,0.5471698045730591,22/27,7/20,0/6,,,,,,
61,0.6710260592734636,0.7313432835820896,0.9509088205439704,0.5471698045730591,20/27,8/20,1/6,,,,,,
62,0.7145346797891517,0.7686567164179104,0.9443601816892624,0.5283018946647644,19/27,8/20,1/6,,,,,,
63,0.6623027671628924,0.7089552238805971,0.9368014803954533,0.5471698045730591,21/27,7/20,1/6,,,,,,
