epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
1,1.8970042738451887,0.31467661706369315,1.3946863285132818,0.43396228551864624,8/27,15/20,0/6,,,,,
2,1.1932367513428872,0.36069651770947586,1.2620972352368491,0.3207547068595886,12/27,2/20,3/6,,,,,
3,1.0991277178721641,0.38184079616817074,1.1677007590021407,0.37735849618911743,0/27,20/20,0/6,,,,,
4,1.0956213758952582,0.34825870661593195,1.1720319134848458,0.37735849618911743,3/27,17/20,0/6,,,,,
5,1.077075075302551,0.5211442789035057,1.186785638332367,0.5283018946647644,16/27,12/20,0/6,,,,,
6,1.0849732516416863,0.47885572154130507,1.1728936306067876,0.3396226465702057,1/27,17/20,0/6,,,,,
7,1.1116242497714597,0.31467661706369315,1.1676006487437658,0.37735849618911743,0/27,20/20,0/6,,,,,
8,1.0992455206700225,0.31218905502290867,1.1674490911620004,0.37735849618911743,0/27,20/20,0/6,,,,,
9,1.0983040039219074,0.31592039830649077,1.1675945946148463,0.37735849618911743,0/27,20/20,0/6,,,,,
10,1.097257920610371,0.4490049752726484,1.1673321553639002,0.37735849618911743,0/27,20/20,0/6,,,,,
11,1.103604208177595,0.31218905502290867,1.1673235126904078,0.37735849618911743,0/27,20/20,0/6,,,,,
12,1.0992008634467623,0.30845771173932657,1.1673530765942164,0.37735849618911743,0/27,20/20,0/6,,,,,
13,1.0984186743622395,0.31094527378011105,1.1678397910935538,0.37735849618911743,0/27,20/20,0/6,,,,,
14,1.0987985783548497,0.31218905502290867,1.167634265763419,0.37735849618911743,0/27,20/20,0/6,,,,,
15,1.101489786781482,0.30970149253731344,1.1678216116768974,0.37735849618911743,0/27,20/20,0/6,,,,,
16,1.1015461042745789,0.30970149253731344,1.167730953012194,0.37735849618911743,0/27,20/20,0/6,,,,,
17,1.1022604677214551,0.31094527378011105,1.1679901140076774,0.37735849618911743,0/27,20/20,0/6,,,,,
18,1.0973331447857528,0.30970149253731344,1.1679601754461015,0.37735849618911743,0/27,20/20,0/6,,,,,
19,1.1013952555941111,0.30970149253731344,1.1682263697896684,0.37735849618911743,0/27,20/20,0/6,,,,,
20,1.097811408007323,0.31467661706369315,1.1681430169514246,0.37735849618911743,0/27,20/20,0/6,,,,,
21,1.10272476210523,0.30721393049652895,1.1682647807257516,0.37735849618911743,0/27,20/20,0/6,,,,,
22,1.1020320778462425,0.31094527378011105,1.1683330024991716,0.37735849618911743,0/27,20/20,0/6,,,,,
