epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,1.1235365173709926,0.3296019901980215,1.072794258594513,0.4716981053352356,0.30864197530864196,25/27,0/20,0/6,best,,,,,,
2,1.0805935575001275,0.3631840797502603,1.0332603369440352,0.4528301954269409,0.32654320987654323,17/27,7/20,0/6,best,,,,,,
3,1.1234383485210475,0.34701492537313433,1.104535358292716,0.30188679695129395,0.2839506172839506,14/27,0/20,2/6,,,,,,,
4,1.1070574806697333,0.34452736333234985,1.071132821696145,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,best,,,,,,
5,1.0752941610208198,0.3917910447761194,1.0507053903170995,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,best,,,,,,
6,1.0412181847131075,0.4427860699482818,1.0241252652236394,0.49056604504585266,0.34259259259259256,21/27,5/20,0/6,best,,,,,,
7,1.04790711936666,0.43407960213832003,1.0670312685625893,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,,,,,,,
8,1.0510484362716106,0.4129353236796251,1.0590046218463354,0.4528301954269409,0.4432098765432098,8/27,14/20,2/6,best,,,,,,
9,1.0580545405843365,0.39800995054529675,1.0503269221101488,0.3962264060974121,0.33271604938271604,13/27,7/20,1/6,,,,,,,
10,1.0276638740923867,0.4601990051233946,1.0499086380004883,0.4528301954269409,0.43456790123456784,10/27,12/20,2/6,,,,,,,
11,1.0196976777332931,0.47885572154130507,1.0120583134038108,0.4716981053352356,0.32592592592592595,21/27,4/20,0/6,,,,,,,
12,1.005749048581764,0.4800995027841027,1.0243430520806993,0.37735849618911743,0.35061728395061725,5/27,14/20,1/6,,,,,,,
13,0.9779638914919612,0.5211442789035057,1.0363744710172926,0.4528301954269409,0.4432098765432098,8/27,14/20,2/6,best,,,,,,
14,0.9658713741088981,0.5534825872129469,1.1013553823743547,0.30188679695129395,0.45679012345679015,1/27,10/20,5/6,best,,,,,,
15,0.9532300474038765,0.5087064678099618,1.0170071593352727,0.4150943458080292,0.4055555555555556,9/27,11/20,2/6,,,,,,,
16,0.9047082395695928,0.5422885573622006,1.0491572661059243,0.3396226465702057,0.3691358024691358,2/27,14/20,2/6,,,,,,,
17,0.9104238588418534,0.6032338311423117,1.0728358711515154,0.43396228551864624,0.46975308641975305,16/27,3/20,4/6,best,,,,,,
18,0.890230035603936,0.5472636818885803,1.046427037034716,0.4528301954269409,0.4432098765432099,17/27,4/20,3/6,,,,,,,
19,0.8691436808500717,0.6069651744258937,0.9777479256902423,0.43396228551864624,0.4049382716049383,4/27,18/20,1/6,,,,,,,
20,0.8598271808517512,0.5833333334816035,0.988628843000957,0.4150943458080292,0.4314814814814814,3/27,17/20,2/6,,,,,,,
21,0.8307982723214733,0.6206467663174244,0.9666981143610818,0.49056604504585266,0.4549382716049382,13/27,11/20,2/6,,,,,,,
22,0.8603324685523759,0.6206467663174244,0.9786814451217651,0.43396228551864624,0.4308641975308642,7/27,14/20,2/6,,,,,,,
23,0.8370758619771075,0.6069651744258937,0.9906774631568364,0.4528301954269409,0.4432098765432098,8/27,14/20,2/6,,,,,,,
24,0.8125915856503728,0.585820895522388,0.9422488553183419,0.5471698045730591,0.48333333333333334,18/27,9/20,2/6,best,,,,,,
25,0.8111630206677451,0.6529850746268657,0.9436840159552438,0.5283018946647644,0.42777777777777776,18/27,9/20,1/6,,,,,,,
26,0.783297657521803,0.6616915424368275,0.9480144551822117,0.43396228551864624,0.3919753086419753,7/27,15/20,1/6,,,,,,,
27,0.7969248984287034,0.6293532341273863,0.9611772085939135,0.4716981053352356,0.4382716049382716,13/27,10/20,2/6,,,,,,,
28,0.7279566197252986,0.7189054729333565,0.9511633047035762,0.4716981053352356,0.4425925925925926,12/27,11/20,2/6,,,,,,,
29,0.7504424995450831,0.6455223880597015,0.9635436023984637,0.43396228551864624,0.41790123456790124,10/27,11/20,2/6,,,,,,,
30,0.7527338088448368,0.6567164179104478,0.972129442862102,0.43396228551864624,0.38765432098765434,17/27,4/20,2/6,,,,,,,
31,0.7615174419844328,0.6517412938288788,0.9136711188725063,0.5471698045730591,0.44876543209876546,17/27,11/20,1/6,,,,,,,
32,0.7400077963942913,0.6504975125860812,0.9233615270682743,0.4716981053352356,0.4037037037037037,12/27,12/20,1/6,,,,,,,
33,0.7718284908515304,0.6281094528845886,0.9282290594918388,0.49056604504585266,0.4290123456790123,19/27,5/20,2/6,,,,,,,
34,0.693115471014336,0.6741293535303714,0.9273376251970019,0.5094339847564697,0.441358024691358,20/27,5/20,2/6,,,,,,,
35,0.6958985946961304,0.7263681595005206,0.948623959507261,0.49056604504585266,0.42037037037037034,21/27,3/20,2/6,,,,,,,
36,0.6764873279564416,0.700248756515446,0.952654059444155,0.4528301954269409,0.404320987654321,17/27,5/20,2/6,,,,,,,
37,0.6989228965631172,0.7300995027841027,0.922595181635448,0.4716981053352356,0.4166666666666667,18/27,5/20,2/6,,,,,,,
38,0.7018130690749012,0.6728855722875737,0.9453612736293248,0.4528301954269409,0.4734567901234568,10/27,11/20,3/6,,,,,,,
39,0.6371215510724196,0.7313432835820896,0.9294858830315726,0.4528301954269409,0.4518518518518519,15/27,6/20,3/6,,,,,,,
40,0.6167538315057755,0.7375621893512669,0.9139591114861625,0.4528301954269409,0.38703703703703707,12/27,11/20,1/6,,,,,,,
41,0.652404071234945,0.7238805970149254,0.9279404325144631,0.5283018946647644,0.4666666666666666,18/27,8/20,2/6,,,,,,,
42,0.6637054886390914,0.6753731343283582,0.9389172324112484,0.4528301954269409,0.4302469135802469,11/27,11/20,2/6,,,,,,,
43,0.6564657541353311,0.6940298507462687,0.9194621060575757,0.49056604504585266,0.4506172839506173,14/27,10/20,2/6,,,,,,,
44,0.6375862366672772,0.6940298507462687,0.9255894635404859,0.5094339847564697,0.445679012345679,19/27,6/20,2/6,,,,,,,
45,0.6588527733710274,0.6965174132318639,0.8921092024871281,0.5094339847564697,0.445679012345679,19/27,6/20,2/6,,,,,,,
46,0.6385165085988258,0.7089552238805971,0.8940858287470681,0.49056604504585266,0.3814814814814815,21/27,4/20,1/6,,,,,,,
47,0.6093505560906965,0.7350746268656716,0.9019477367401123,0.5094339847564697,0.445679012345679,19/27,6/20,2/6,,,,,,,
48,0.5965980767314114,0.7425373134328358,0.8915579276425498,0.5283018946647644,0.42345679012345677,19/27,8/20,1/6,,,,,,,
49,0.5478041547892699,0.7512437812427977,0.8965205039296832,0.5094339847564697,0.44999999999999996,18/27,7/20,2/6,,,,,,,
50,0.5636239447700444,0.745024875918431,0.9120429669107709,0.4716981053352356,0.42962962962962964,15/27,8/20,2/6,,,,,,,
51,0.5109925290097052,0.7910447761194029,0.8817016397203717,0.49056604504585266,0.38580246913580246,20/27,5/20,1/6,,,,,,,
52,0.6067981871206369,0.6965174132318639,0.8845371050494057,0.49056604504585266,0.38580246913580246,20/27,5/20,1/6,,,,,,,
53,0.5516529009858174,0.7761194029850746,0.8961070903709957,0.5094339847564697,0.4067901234567901,19/27,7/20,1/6,,,,,,,
54,0.591928659535166,0.7338308460676848,0.896757185459137,0.5094339847564697,0.4067901234567901,19/27,7/20,1/6,,,,,,,
55,0.5868646927289108,0.7562189057691774,0.8895650633743831,0.5094339847564697,0.441358024691358,20/27,5/20,2/6,,,,,,,
56,0.4896336527013067,0.7798507462686567,0.8982691211359841,0.5094339847564697,0.4154320987654321,17/27,9/20,1/6,,,,,,,
57,0.5881103795410981,0.7338308460676848,0.9001267509801048,0.5094339847564697,0.445679012345679,19/27,6/20,2/6,,,,,,,
58,0.5211636944493251,0.7711442789035057,0.9035326242446899,0.4716981053352356,0.37345679012345684,19/27,5/20,1/6,,,,,,,
59,0.5493334324947045,0.7350746268656716,0.9153626688889095,0.5094339847564697,0.445679012345679,19/27,6/20,2/6,,,,,,,
60,0.514790206146774,0.7935323386049983,0.9328960946628025,0.5283018946647644,0.4364197530864198,16/27,11/20,1/6,,,,,,,
61,0.528398383909197,0.7375621893512669,0.923845112323761,0.49056604504585266,0.4376543209876543,17/27,7/20,2/6,,,,,,,
62,0.5061851617560458,0.7786069654706699,0.9299577389444623,0.49056604504585266,0.4376543209876543,17/27,7/20,2/6,,,,,,,
63,0.5657884149409053,0.7649253731343284,0.9219156120504651,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,,,,,,,
64,0.4930620569346556,0.7823383087542519,0.9194393924304417,0.5094339847564697,0.41111111111111115,18/27,8/20,1/6,,,,,,,
65,0.49691040202308057,0.7674129356199236,0.9232186121600015,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,,,,,,,
66,0.4878225074385974,0.7985074626865671,0.9429651583944049,0.49056604504585266,0.4506172839506173,14/27,10/20,2/6,,,,,,,
67,0.5482571386912866,0.75,0.9094190554959434,0.5094339847564697,0.445679012345679,19/27,6/20,2/6,,,,,,,
