epoch,lr,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
1,0.001,1.1693965321156516,0.24378109467563344,1.2227056069033486,0.15094339847564697,8/27,0/20,0/6,,,,,
2,0.001,1.1480026200636109,0.2624378110935439,1.209975732224328,0.16981132328510284,6/27,2/20,1/6,,,,,
3,0.001,1.1577074678976145,0.2873134328358209,1.1997555707182204,0.22641509771347046,6/27,5/20,1/6,,,,,
4,0.001,1.143480275104295,0.2798507462686567,1.1901912987232208,0.24528302252292633,6/27,6/20,1/6,,,,,
5,0.001,1.108478258794813,0.30223880597014924,1.182021290063858,0.3207547068595886,7/27,9/20,1/6,,,,,
6,0.001,1.1060104014268561,0.33955223880597013,1.173573225736618,0.24528302252292633,6/27,5/20,2/6,,,,,
7,0.001,1.092632601510233,0.3706467663174245,1.1672364260469164,0.4150943458080292,13/27,8/20,1/6,,,,,
8,0.001,1.0769500990412129,0.39054726397813255,1.160175119127546,0.4528301954269409,14/27,8/20,2/6,,,,,
9,0.001,1.0844701937775114,0.38681592069455045,1.152280569076538,0.4150943458080292,14/27,5/20,3/6,,,,,
10,0.001,1.077987398674239,0.34328358208955223,1.1455789080687933,0.4716981053352356,16/27,6/20,3/6,,,,,
11,0.0005,1.0787695459465483,0.36815920427664,1.1423531302383967,0.49056604504585266,17/27,6/20,3/6,,,,,
12,0.0005,1.081644029759649,0.4203980102467893,1.1378406967435564,0.4528301954269409,15/27,6/20,3/6,,,,,
13,0.0005,1.0584640609684275,0.44776119402985076,1.1349540139947618,0.5094339847564697,18/27,6/20,3/6,,,,,
14,0.0005,1.0561116907133985,0.4042288558696633,1.1320221977574485,0.5283018946647644,19/27,6/20,3/6,,,,,
15,0.0005,1.062575382972831,0.42661691557115583,1.1289775328976768,0.5283018946647644,19/27,6/20,3/6,,,,,
16,0.0005,1.0507881588010646,0.4975124379592155,1.125356559242521,0.5471698045730591,20/27,6/20,3/6,,,,,
17,0.0005,1.0437723682887519,0.44029850746268656,1.1223072026457106,0.5471698045730591,20/27,6/20,3/6,,,,,
18,0.0005,1.0708085485358736,0.4129353236796251,1.1179219612053461,0.5471698045730591,20/27,6/20,3/6,,,,,
19,0.0005,1.064712305567158,0.39676616930249914,1.1165266377585275,0.5283018946647644,20/27,5/20,3/6,,,,,
20,0.0005,1.0440222834473225,0.4713930349741409,1.1121610062462943,0.5471698045730591,20/27,6/20,3/6,,,,,
21,0.00025,1.046507385684483,0.47263681621693854,1.1104852897780282,0.5471698045730591,20/27,6/20,3/6,,,,,
22,0.00025,1.045611007889705,0.4925373134328358,1.1092154128210885,0.5660377740859985,22/27,5/20,3/6,,,,,
